GEOID,Total,Elementary,Middle,High,STATEFP20,COUNTYFP20,TRACTCE20,Total Students,Grade_Cluster_Elementary,Grade_Cluster_Middle,Grade_Cluster_High,market_share_total,market_share_elementary,market_share_middle,market_share_high,replaced_by_county_ms_elementary,replaced_by_county_ms_middle,replaced_by_county_ms_high
37119003701,1693,31,18,20,37,119,003701,45,13,16,16,0.026580035440047254,0.41935483870967744,0.8888888888888888,0.8,0,0,0
37119003702,2377,0,254,132,37,119,003702,271,121,63,87,0.11400925536390408,0.6925395620184098,0.24803149606299213,0.6590909090909091,1,0,0
37119003802,3004,67,530,318,37,119,003802,504,215,121,168,0.1677762982689747,0.6925395620184098,0.22830188679245284,0.5283018867924528,1,0,0
37119003805,3850,260,97,28,37,119,003805,286,147,63,76,0.07428571428571429,0.5653846153846154,0.6494845360824743,0.5956669683734754,0,0,1
37119003807,4763,638,206,305,37,119,003807,1157,577,309,271,0.24291412975015747,0.9043887147335423,0.46119611095851776,0.8885245901639345,0,1,0
37119003808,6833,716,392,375,37,119,003808,1441,783,343,315,0.21088833601639104,0.6925395620184098,0.875,0.84,1,0,0
37119003809,3654,344,44,269,37,119,003809,511,211,116,184,0.13984674329501914,0.6133720930232558,0.46119611095851776,0.6840148698884758,0,1,0
37119003810,4731,474,390,253,37,119,003810,674,350,150,174,0.14246459522299726,0.7383966244725738,0.38461538461538464,0.6877470355731226,0,0,0
37119003811,2112,94,252,43,37,119,003811,435,217,96,122,0.2059659090909091,0.6925395620184098,0.38095238095238093,0.5956669683734754,1,0,1
37119003902,4925,333,375,398,37,119,003902,840,384,210,246,0.17055837563451776,0.6925395620184098,0.56,0.6180904522613065,1,0,0
37119003903,1953,229,199,52,37,119,003903,620,336,139,145,0.31746031746031744,0.6925395620184098,0.6984924623115578,0.5956669683734754,1,0,1
37119004000,4448,399,424,286,37,119,004000,669,286,161,222,0.15040467625899281,0.7167919799498746,0.37971698113207547,0.7762237762237763,0,0,0
37119004101,1748,80,141,126,37,119,004101,140,54,35,51,0.08009153318077804,0.675,0.24822695035460993,0.40476190476190477,0,0,0
37119004102,2872,160,48,72,37,119,004102,114,59,26,29,0.03969359331476323,0.36875,0.5416666666666666,0.4027777777777778,0,0,0
37119004200,2975,190,191,139,37,119,004200,450,195,114,141,0.15126050420168066,0.6925395620184098,0.5968586387434555,0.5956669683734754,1,0,1
37119004302,4686,398,548,344,37,119,004302,754,307,188,259,0.16090482287665386,0.7713567839195979,0.34306569343065696,0.752906976744186,0,0,0
37119004303,2489,69,121,79,37,119,004303,480,204,113,163,0.19284853354760947,0.6925395620184098,0.9338842975206612,0.5956669683734754,1,0,1
37119004304,4490,395,282,316,37,119,004304,565,270,137,158,0.12583518930957685,0.6835443037974683,0.4858156028368794,0.5,0,0,0
37119004306,3768,341,224,122,37,119,004306,549,271,115,163,0.14570063694267515,0.7947214076246334,0.5133928571428571,0.5956669683734754,0,0,1
37119004307,5033,508,75,682,37,119,004307,490,228,103,159,0.09735744089012517,0.44881889763779526,0.46119611095851776,0.23313782991202345,0,1,0
37119004400,4021,216,265,198,37,119,004400,760,326,192,242,0.1890077095249938,0.6925395620184098,0.7245283018867924,0.5956669683734754,1,0,1
